category,category_id
Hobbies,1
,2
Characters & Brands,3
Fancy Dress,4
Bags,5
Arts & Crafts,6
Handbags & Shoulder Bags,7
Games,8
Figures & Playsets,9
Home Accessories,10
"Sweets, Chocolate & Gum",11
Sports Toys & Outdoor,12
Die-Cast & Toy Vehicles,13
Baby & Toddler Toys,14
"Storage, Cleaning & Ring Sizers",15
Bedding & Linens,16
Office Supplies,17
Party Supplies,18
Camping & Hiking,19
Pretend Play,20
Women,21
Electronic Toys,22
Car Parts,23
Dolls & Accessories,24
Indoor Lighting,25
Educational Toys,26
"Laundry, Storage & Organisation",27
Supporters' Gear,28
"Jams, Honey & Spreads",29
Novelty & Special Use,30
Musical Toy Instruments,31
Men,32
Sex & Sensuality,33
Cooking & Dining,34
Medication & Remedies,35
Puppets & Puppet Theatres,36
Jigsaws & Puzzles,37
Dogs,38
Medical Supplies & Equipment,39
"Pens, Pencils & Writing Supplies",40
Worlds Apart,41
Gardening,42
Lab & Scientific Products,43
Novelty Jewellery,44
