manufacturer_id,manufacturer_name
1,Hornby
2,FunkyBuys
3,ccf
4,Generic
5,Chuggington
6,Kato (USA)
7,Bachmann
8,Kato
9,Power Trains
10,Preiser
11,Takara Tomy
12,Roco
13,Fisher-Price
14,Gaugemaster
15,Faller
16,Topro
17,Dapol
18,Ratio
19,ARSUK
20,Trix
21,RAILWAY - BACHMANN
22,Busch
23,Piko
24,Corgi
25,Sohni-Wicke
26,Train Tech
27,CATO
28,POWER CITY TRAINS
29,Train
30,Sales La
31,Märklin my world
32,Mattel
33,Graham Farish
34,Carousel
35,Peptim Scenics
36,Learning Curve
37,Walthers Trainline
38,Woodland Scenics
39,Peco
40,Fisher Price
41,Jouef
42,Thomas & Friends
43,Plan Toys
44,Bandai
45,Atlas
46,NMIT
47,Viessmann
48,Tommy Tech
49,Model Power
50,Micki Leksaker
51,LELIN
52,Bachmann N Gauge
53,Märklin
54,Tomytec
55,Bigjigs Rail
56,Trains
57,Tomy
58,Smasha-Ballz
59,Moomins
60,Paddington Bear
61,Charlie Bears
62,Yoohoo & Friends
63,Monchhichi
64,Aurora
65,The Puppet Company
66,Ty
67,Henry Hugglemonster
68,Melissa & Doug
69,Animal Babies
70,Olympic Mascots
71,Suma Collection
72,Whitehouse Leisure
73,Me To You
74,Creative Toys
75,Marvel
76,Squishable
77,Roadkill Toys
78,Talking Friends
79,Unknown
80,L'Atitude
81,MBNF
82,Teddy Mountain
83,TY~BEANIE BEARS
84,Pokemon Center
85,Webkinz
86,Banpresto
87,Wild Republic
88,Ty UK Ltd
89,ENESCO
90,Steiff
91,Star Wars
92,TheWorks
93,Living Nature
94,Golden Bear
95,Disney
96,Ben & Holly
97,Paw Patrol
98,Teddy Hermann
99,Cepia
100,Claire's
101,Vivid Imaginations
102,ukgiftstoreonline
103,White Lab Mouse
104,Lil Kinz
105,Hansa
106,TY~BEANIES ANIMALS
107,Warmhearts Fully Microwavable
108,Shopzeus
109,Keel Toys
110,Beanie Boos
111,Doodle Jump
112,Pokémon
113,Bluw
114,My Blue Nose Friends
115,KingcooTech
116,ty beanie
117,Little Buddy
118,Ravensden
119,IBTT
120,Yoo Hoo
121,Cuddlekins
122,TY~COUNTRY EXCLUSIVES
123,Build your Bears Wardrobe
124,ThinkGeek
125,Sanei
126,"Minnie Mouse, Mad about Minnie"
127,Plants vs Zombies
128,London Teddy Bears
129,PTS
130,TY~BEANIES CATS
131,Dowman
132,Be My Bear
133,Titan Merchandise
134,Beanie Babies
135,TY~BEANIES DOGS
136,Zigamazoo
137,Manhattan Toy
138,Sun Arrow
139,MINIONS
140,Beanies
141,Miyoni
142,Jazwares
143,Harrods
144,"PILLOW PET 1 DIRECTION PINK PUPPY 18"""
145,GE Entertainment
146,Angry Birds
147,Personalised Bears and Rag Dolls
148,Yao
149,Jelly Cat
150,FunKo
151,Snoopy
152,Aurora My Little Pony
153,TY~BABY RANGE INCLUDING PLUFFIES
154,Gund
155,Dempsey Designs Minicraft
156,Mickey Mouse
157,Jet Creations
158,Pluto
159,Dear Zoo
160,TY~HALLOWEEN BEANIES
161,Great Eastern Entertainment
162,McDonalds Happy Meal Toy
163,Soft Toy
164,APC
165,Glitzy Jewels
166,TBEN
167,Latitude Enfant
168,Apples to Pears
169,Animagic
170,Ganz USA LLC
171,Huggle Buddies
172,Yao Design
173,Andy's
174,TY~BEANIES BIRDS
175,Nici
176,Beanie Buddies
177,Amscan
178,Hasbro
179,Schmidt
180,How to Train Your Dragon
181,DC Comics
182,Ayumi
183,Pintoy
184,Poly Dice Sets
185,Q-Workshop
186,Forlorn Hope Games
187,LCR
188,"Chavet, Chavet"
189,The Dice Place
190,Oblivion
191,Privateer Press
192,BigCherry
193,Chessex
194,Dice World
195,Jaques of London
196,WizKids
197,Smartdealspro
198,Ultra Pro
199,Cracker kit fillers
200,Bicycle
201,SMART SHOPPING
202,Gamewright
203,Jesters
204,Asmodée
205,8
206,Hutter Trade GmbH + Co KG
207,Kent & Cleal
208,pocketgames
209,Learning Resources
210,Witzigs
211,Traditional Games
212,Dice
213,Bigjigs Toys
214,Rory's Story Cubes
215,WHATWEARS
216,Pocket dice games
217,MY
218,Unbeatable Games
219,Drumond Park
220,The Creativity Hub
221,RoyaltyRoute
222,Backspindle Games
223,Steve Jackson Games
224,GRAHAM'S GAMES
225,Opaque
226,Left Center Right
227,Front Porch
228,Patch Products Inc.
229,Crossword
230,Tarquin Group
231,Bristol Novelties
232,Galt Toys
233,Rio Grande Games
234,Days of Wonder
235,Koplow Games
236,TGO
237,David Westnedge Games
238,Rory Story Cubes
239,Bulk Dice
240,Evil Hat Productions
241,kitsch
242,A to Z
243,BOGGLE
244,Cultzilla
245,Backspindle Games Limited
246,ShalinIndia
247,Dude Dice
248,University Games
249,Renegade Game Studios
250,Base
251,Re:creation Group Plc
252,Tarquin
253,West5Products
254,David Westnedge
255,Queen Games
256,Tenzi
257,Think Fun
258,Polyhedral
259,George
260,KMC
261,Masters
262,Rockets Toys
263,Brimtoy
264,Slammer
265,Creative Fingers
266,Paul Lamond Games
267,Motion Sand
268,Legler
269,Playmobil
270,Coppenrath Verlag
271,C.P.M.
272,Baker Ross
273,Disney Frozen
274,Clikkabox
275,Christmas @ Thumpers
276,LEGO
277,Kinetic Sand
278,Fuzzy Felt
279,William Sinclairs
280,Caltime
281,Magic Sand
